Categoría,Sub-Categoría,Contenido,Envase,Formato,Marca,Sabor,Tipo de Producto,Variedad
Aceites y Vinagres,Aceites Comunes,1 kg,Bolsa,Crema,123listo!,Arándanos,Aceites,Al Huevo
Aderezos,Aceites Especiales,120 g,Botella,Cápsula,1854,Berries,Aceites de Coco,Chocolate
Arroz y Legumbres,Acetos,200 g,Botella de Plástico,Cápsulas,3D´S,cebolla,Aceites de Girasol,Clásica
"Caldos, Sopas, Puré y Bolsas para Horno",Alfajores,250 g - 500 g,Botella de Vidrio,Envasado,9 DE ORO,Cereza,Aceites de Maíz,Común
Conservas,Arroz,350 g,Brik,Grano,ACAPULCO,Chocolate,Aceites de Oliva,Con Polvo de Hornear
Desayuno y Merienda,Arroz Listos,360 g,Caja,Molido,AFTER EIGHT,Ciruela,Aceites Mezclas,Dulces
Golosinas y Chocolates,Avenas y Sémolas,500 g,Caja de Cartón,Polvo,AGLU,Coco,Acetos Balsámicos,Frambuesa
Harinas,Azúcar y Edulcorantes,540 g,Doy Pack,Saquito,AGUILA,Damasco,Ajos,Frutas Confitadas
Libre de Gluten,"Bizcochuelos, Brownies y Tortas",600 g,Frasco,Tableta,ALCAZAR,Dulce De Leche,Ají,Frutilla
Mesa Dulce Navideña,"Bizcochuelos, Budines y Magdalenas",Mayor a 1 kg,Lata,Torrado,ALCO,Durazno,Ají Molido,Integral
Panificados,Bocaditos y Postres,,Paquete,,ALELUYA,Frambuesa,Albahacas,Light
Para Preparar,Bombones,,Pet,,Alfa Pampa,Fruta,Alcaparras,Limón
Pastas Secas y Salsas,Cacao y Saborizantes,,Plástico,,ALICANTE,Frutilla,Alcauciles,Naranja
"Sal, Pimienta y Especias",Cafés,,Pote,,ALMADRE,Frutos del Bosque,Alfajores,Premium
Snacks,Caldos,,Sachet,,ALPINO,Frutos Rojos,Alfajores Blancos,Saborizado
,Caramelos y Chicles,,Sobre,,ALWA,Higo,Alfajores de Arroz,Sin Polvo de Hornear
