Categoría,Sub-Categoría,Cepa,Color Cerveza,Contenido,Envase,Gasificado,Marca,Pack-Unitario,Sabor,Tipo de Producto,Variedad
A Base de Hierbas,Aguas Con Gas,Blend,Negra,1 L,Botella,No,0-61,Pack,Anana,Aguas de Coco,Blanc De Blancs
Aguas,Aguas Saborizadas,Cabernet Franc,Roja,1 L - 2 L,Botella Retornable,Sí,1882,Unitario,Anana y Mandarina,Aguas de Mesa,Blend
Aperitivos,Aguas Sin Gas,Cabernet Sauvignon,Rubia,"1,5 L",Brik,,1888,,Arándano,Aguas Minerales con Gas,Brut
Bebidas Blancas,Cola,Chardonnay,,"1,5 lts",Caja,,5.0,,Arándanos-Manzana,Aguas Minerales sin Gas,Brut Nature
Cervezas,En Polvo,Chenin,,1.1 L,Cartón,,7 UP,,Café,Aguas Saborizadas con Gas,Brut Rosé
Champagnes,Frescos,Malbec,,1.2 L,Lata,,8 HERMANOS,,Chocolate,Aguas Saborizadas sin Gas,Charmart Partridge
Energizantes,Granadina,Merlot,,1.5 L,Pack,,ABERLOUR,,Citrus,Aguas Tónicas,Cuvee Demi Sec
Gaseosas,Guaraná,Pinot Noir,,1.5 lt,Paquete,,ABSOLUT,,Cola,Aperitivos,Doux
Generosos,Lima Limón,Sauvignon Blanc,,1.5lt,Porrón,,ADES,,Cola + Lima Limón,Bebidas a Base de Hierbas,Dulce
Hielo,Listos,Syrah,,1.65 L,Sobre,,AGOSTINO,,Cool Blue,Bebidas Energizantes,Extra Brut
Isotónicas,Naranja,Tannat,,1.75 L,,,AIMÉ,,Dulce de Leche,Bebidas Isotónicas,Nature
Jugos,Pomelo,Tempranillo,,1.75lt,,,ALAMBRADO,,Dulce y especiado,Cachazas,Rosé
Licores,Tónica,Torrontés,,1000 Cc,,,ALAMOS,,Durazno,Cervezas,
Sidras,Vinos Blancos,,,100250cc,,,ALMA MORA,,Frutas Tropical,Cervezas Artesanales,
Vinos,Vinos Frizantes,,,100500cc,,,ALMA NEGRA,,Frutilla y Mango,Cervezas Importadas,
Whiskys,Vinos Rosados,,,1360 Ml,,,ALOJA,,Frutos Tropicales,Cervezas Premium,
,Vinos Tintos,,,15 G,,,ALTAMIRA,,Ginger Ale,Cervezas Sin Alcohol,
,,,,15 Gr,,,ALTOS DEL PLATA,,Hierbas,Cervezas Tradicionales,
,,,,150 ml,,,ALYDA,,Huevo,Champagnes,
,,,,187 ml,,,AMALAYA,,"Jengibre, Hibiscus Y Cedrón",Coñac,
,,,,2 L,,,AMARETTO DI SARONNO,,Lima-Limón,Cremas de Licores,
,,,,2 Litros,,,AMERICAN CLUB,,Limonada,Cócteles,
,,,,2 lts,,,AMSTEL,,Limón,Espumantes,
,,,,"2,25 L",,,ANDELUNA,,Lychee,Fernet,
,,,,2.2 L,,,ANDES,,Mango,Frizzantes,
,,,,2.25 L,,,ANGELICA ZAPATA,,Manzana,Frutillas,
,,,,2.25 lt,,,ANIMAL,,Manzana-Kiwi,Gaseosas,
,,,,2.25lt,,,ANTARES,,Maracuyá,Gaseosas Light,
,,,,2.5 L,,,APEROL,,Mountain Blast,Gaseosas Sin Azúcar,
,,,,200 ml,,,AQUARIUS,,Multifruta,Gin,
,,,,250 ml - 500 ml,,,ARAUCANA,,Naranja,Hielo,
,,,,269 ml,,,ARCOR,,Naranja Durazno,Insecticidas,
,,,,300 ml,,,ARGENTO,,Naranja Manzana,Jarabes de Goma,
,,,,310 ml,,,ARISTIDES,,"Naranja, Banana",Jugos Concentrados,
,,,,330 Ml,,,ARTESANO,,"Naranja, Dulce",Jugos de Soja,
,,,,340 Ml,,,ASAHI,,"Naranja, Lima",Jugos en Polvo,
,,,,354 ml,,,AUTENTICO,,"Naranja, Mango",Jugos en Polvo Light,
,,,,375 ml,,,BACARDI,,"Pepino, Naranja, Pera, Arándano",Jugos Frescos,
,,,,473cc,,,BAILEYS,,Pera,Jugos Listos,
,,,,500 cc,,,BALLANTINES,,Pome,Jugos Naturales,
,,,,500 ml,,,BARON B,,Pomelo,Jugos refrigerados,
,,,,500 ml - 750 ml,,,BARRILITO,,Pomelo Amarillo,Kombuchas,
,,,,500ml,,,BC,,Pomelo Rosado,Licores,
,,,,591 cc,,,BEEFEATER,,"Sabor intenso y complejo. Elaborado a partir de una mezcla secreta de 56 hierbas, flores, raíces y frutas, es famoso en todo el mundo tanto por su uso en cócteles como por ser consumido solo, generalmente bien frío o con hielo. Este licor oscuro y robusto se ha convertido en un clásico en bares y fiestas.",Limonadas,
,,,,591 ml,,,BEEPURE,,Serrano,Limones,
,,,,6.3 L,,,BENEDICTINO,,Soja y Frutas,Lustramuebles,
,,,,7 Gr,,,BENJAMIN,,Tomate,Pilas Recargables,
,,,,7.5 Gr,,,BENJAMIN NIETO,,Tónica,Pisco,
,,,,700 Cc,,,BIANCHI,,Uva,Pulpas de Fruta,
,,,,700 ml,,,BIECKERT,,Yerba Mate,Quesos,
,,,,750 Cc,,,BITBURGER,,,Renovadores de Calzado,
,,,,750 Gr,,,BLENDERS,,,Ron,
,,,,750 ml,,,BLUE MOON,,,Sidras,
,,,,750 ml - 1 L,,,BOMBAY,,,Soda,
,,,,750 ml - 1.000 ml,,,BOOCH,,,Tequila,
,,,,750ml,,,BOSQUE,,,Vermouths,
,,,,8 Gr,,,BRAHMA,,,Vinos,
,,,,910 Ml,,,BRANCA,,,Vinos Blancos,
