Categoría,Sub-Categoría,Área de Desarrollo,Edad Recomendada,Marca,Tipo de Producto
Alimentación,Ensambles y Rompecabezas,Creatividad,+6 años,ALGABO,Accesorios de Entrenamiento
Cuidado del Bebé,Higiene del Bebé,Habilidades Cognitivas,0 a 24 meses,ANTEX,Accesorios Juguetes de Acción
Juguetería,Juegos de Mesa,Habilidades Motrices,12 meses +,ARBREX,Accesorios para Disfraces
"Mamaderas, Chupetes y Baberos",Juguetes,Habilidades Sensoriales,13 años,BABYSEC,Aceites de Bebé
Pañales,Juguetes de Playa y Agua,Habilidades Sociales y Emocionales,2 años +,BARBIE,Acondicionadores
Ropa de Cama y Baño,Juguetes para Bebés,Lenguaje y Comunicación,2+ años (estimado),BLOCKY,Almohadones
,Muñecas y Muñecos,Resolución de Problemas,3 años +,BONTUS,Animales de Juguete
,Peluches,,3 años en adelante,CAFFARENA,Autos a Control Remoto
,,,3 años o mas,CAFFARO,Autos de Juguete
,,,3+,CHIKIMASA,Aviones de Juguete
,,,3+ años (estimado),CHIKITOYS,Baberos
,,,4 años +,DC,Bancos de Trabajo
,,,4+,DITOYS,Bijou Infantil
,,,4+ años (estimado para Marvel),DONCELLA,Bloques para Niños
,,,4+ años (estimado),DOVE BABY,Burbujeros
,,,5 años +,DUFFY,Camiones de Juguete
,,,5+,DURAVIT,Canastos Organizadores
,,,5+ años,ERREKAESE,Casas de Muñecas
,,,5+ años (estimado),ESTRELLA,Casitas de Juegos
,,,6 años +,FAMILY CARE,Chupetes
,,,6+,FARAONI,Cocinas de Juguete
,,,6+ años (estimado),FLOKYS,Colonias
,,,7+ años (estimado),HUGGIES,Cámaras de Juguete
,,,8 años +,HUGGIES ACTIVE SEC,Dardos
,,,8+ años (estimado),INTEK,Dinosaurios y Dragones
,,,A partir de 3 años,JOHNSON & JOHNSON,Especieros
,,,A partir de 5 años,JOHNSON BABY,Espumas de Baño
,,,Bebé,JOHNSON´S,Figuras Coleccionables
,,,Infantil,JULIANA,Fijadores de Pelo
,,,Niños,KREA,Frazadas
,,,Niños/Adultos,LA SERENISIMA,Hisopos
,,,Todas Las Edades,LANTERMOS,Jabones de Tocador
,,,,LOOK MANIA,Jabones Líquidos
,,,,MAISTO,Juegos de Agua
,,,,MATTEL,Juegos de Ajedrez y Damas
,,,,MEGAPRICE,Juegos de Cartas
,,,,MERAKI,Juegos de Encastre
,,,,MINI PLAY,Juegos de Hogar y Oficios
,,,,NAN,Juegos de Mesa
,,,,Nexpoint,Juegos Deportivos
,,,,NIDINA,Juegos Didácticos
,,,,NUK,Juegos Musicales
,,,,NUTRILON,Juegos para Pintar y Crear
,,,,PAMPERS,Juguetes de Playa
,,,,PIÑATA,Juguetes Didácticos
,,,,PLAYMOBIL,Lanzadores y Pistolas de Juguete
,,,,PLUSBELLE,Leches Infantiles
,,,,QSOFT,Maletines
,,,,RASTI,Mamaderas
,,,,ROMA,Maquillajes Infantiles
,,,,ROMA JENSEN,Medias
,,,,RUIBAL,Mordillos
,,,,SANCOR BEBE,Muñecas y Accesorios
,,,,SD,Muñecos y Figuras de Acción
,,,,SEBIGUS,Organizadores de Juguetes
,,,,SIN MARCA,Pañales
,,,,TAPIMOVIL,Pañales Descartables
,,,,TINY,Pañales Pants
,,,,TOP TOYS,Pelotas
,,,,TOYCO,Peluches
,,,,TOYMAKER,Pistas de Autos
,,,,UNIVERSAL,Pistolas de Agua
,,,,URB,Pistolas de Dardos
,,,,VITAL,Pistolas de Juguete
,,,,VULCANITA,Plastilinas y Masas
,,,,X-SHOT,Puzzles
,,,,ZURU,Puzzles y Rompecabezas
,,,,,Rebozadores
,,,,,Relojes de Juguete
,,,,,Robots y Naves Espaciales
,,,,,Rompecabezas
,,,,,Set de Cabello Infantil
,,,,,Set de Juegos Niños
,,,,,Set Higiene
,,,,,Shampoos
,,,,,Slimes y Masas
,,,,,Sonajeros
,,,,,Talcos
,,,,,Tinturas de Pelo
,,,,,Toallas de Baño
,,,,,Toallitas Húmedas
,,,,,Trenes de Juguete
,,,,,Vasos
,,,,,Óleos Calcáreos
