Categoría,Marca,Sub-Categoría,Tipo de Producto
Carbón y Leña,CABAÑA ARGENTINA,Chorizos,Ahumadores
Carne de Cerdo,CABAÑA LA CRIOLLA,La Hacienda Premium,Carbón
Carne Vacuna,CAGNOLI,Morcilla,Carne de Cerdo
"Cordero, Lechón, Chivito y Conejo",CAMPO AUSTRAL,Novillito,Carnes de Cerdo
Embutidos,CARNICERIA PROPIA,Novillito Especial,Carnes de Cordero
Listos Para Cocinar,CATTER MEAT,Pollos,Carnes Vacuna
Menudencias,CUISINE & CO,Salchichas,Chinchulines
Pollos,DOINA,,Chorizos
,FRIGORIFICO HERMOSO,,Chorizos de Cerdo
,GRANJA PROPIA,,Cortes de Pollo
,GRANJA TRES ARROYOS,,Cortes para Milanesas
,HUMOS,,Hígados
,LA DIVISA,,Iniciadores de Fuego
,LA HACIENDA,,Lenguas
,LA TABA,,Leña
,LAS BRASAS,,Matambre de Carne
,LOS LEÑOS,,Mollejas
,MAGRET,,Morcillas
,PALADINI,,Nuggets
,PATAGONIA,,Otras Menudencias
,SAN ANTONIO,,Riñones
,SIN MARCA,,Salchichas
,UNION GANADERA,,Supremas de Pollo
,,,Trozados de Carne
