Categoría,Sub-Categoría,Contenido,Envase,Marca,Sabor,Tipo de Producto,Variedad
Comidas Congeladas,Comidas Congeladas,1 kg - 2 kg,Bolsa,AGUILA,Chocolate,Acelgas,De Horno
Hamburguesas y Milanesas,Empanadas y Tartas,112 g,Caja,AMOEDO,Chocolate Blanco y Frambuesas,Albóndigas,Frita
Helados y Postres,Helados,120 g,Flow Pack,ARCOR,Dos Sabores,Aros de cebolla,Noisette
Papas,Pizzas,160 g,Paquete,BARFY,Dulce de Leche,Arrollados Primavera,Precocido
Pescados y Mariscos,Postres,200 g,Pote,Barraza,Frutilla,Arvejas,Tradicional
Pollo y Carnes,,200 Gr,Sachet,BEYOND MEAT,Granizado,Bastones de Merluza,
Vegetales,,240 Gr,,BLINK,Helado Milka,Bastones de Mozzarella,
,,250 g,,BON O BON,Salted Caramel,Bastones de Pollo,
,,250 g - 500 g,,BURGANAS,,Bastones de Surimi,
,,250 Gr,,BYGIRO,,Bocaditos,
,,300 g,,CASA VEGANA,,Bocaditos de Pollo,
,,360 Gr,,CHOMP,,Bocados,
,,370 Gr,,COFLER,,Bombones Helados,
,,400 Gr,,CRESTA ROJA,,Brócolis,
,,460 Gr,,CUISINE & CO,,Cachetes de Abadejo,
,,500 g,,CUISINE & CO PREMIUM,,Carnes Veganas,
,,500 g - 750 g,,CUISINE & CO READY,,Cebollas,
,,500 ml,,DOLCERIA ALBA,,Champiñones,
,,750 g - 1 kg,,EL NOBLE,,Chipás,
,,Menor a 250 g,,ELABORACION PROPIA,,Choclos,
,,,,EXPRESS,,Conos de Helado,
,,,,Finca Balcarce,,Cortes de Pollo,
,,,,Franui,,Cortes para Milanesas,
,,,,FREDDO,,Croquetas,
,,,,FRESH,,Empanadas Congeladas,
,,,,FRIGOR,,Empanadas Horno,
,,,,FRIGOR LA FRUTTA,,Espinacas,
,,,,FU BAO,,Frambuesas,
,,,,GOOD MARK,,Guapaletas,
,,,,Goodstën,,Hamburguesas de Carne Vacuna,
,,,,GRANJA DEL SOL,,Hamburguesas de Soja,
,,,,GRANJA TRES ARROYOS,,Hamburguesas Veganas,
,,,,GREEN LIFE,,Helado,
,,,,GRUPOLAR,,Helados,
,,,,GUACAMALE,,Kani Kama,
,,,,HAAGEN DAZS,,Medallones,
,,,,Haulani,,Medallones de Carne,
,,,,HORNO CASERO,,Medallones de Garbanzo,
,,,,JUMBO ARTESANAL,,Medallones de Legumbres,
,,,,KARINAT,,Medallones de Lentejas,
,,,,KIT E KAT,,Medallones de Pollo,
,,,,LUCCHETTI,,Medallones de Poroto,
,,,,Lucciano’s,,Medallones de Quinoa,
,,,,LUCHETTI,,Medallones de Soja,
,,,,MAMA COCINA,,Medallones de Verdura,
,,,,MAXIMA,,Medallones de Verduras,
,,,,MC CAIN,,Medallón de Merluza,
,,,,MILKA,,Medallón de Salmón,
,,,,NOEL,,Merluzas,
,,,,NOT CHICKEN,,Milanesa,
,,,,NOT CHORIXO,,Milanesa de Merluza,
,,,,NOT ICECREAM,,Milanesas,
,,,,NotBurguer,,Mix de Verduras,
,,,,NOTMILA,,Mix Vegetales,
,,,,NotSalxicha,,Nuggets,
,,,,NOVELTY,,Nuggets Vegetales,
,,,,NUTREE,,Pancakes,
,,,,ONE FRY,,Papas,
,,,,OREO,,Papas al Horno,
,,,,PAMPA GREENS,,Papas Fritas,
,,,,PATY,,Papas Noisette,
,,,,PIETRO,,Pestos,
,,,,PORTOBELO,,Pizzas Congeladas,
,,,,RANA,,Postres,
,,,,ROCKLET´S,,Postres Helados,
,,,,SADIA,,Postres Lácteos,
,,,,Sei Tu,,Pulpas de Palta,
,,,,SEITU,,Quesos Muzzarella,
,,,,SIBARITA,,Ravioles,
,,,,SIMPLOT,,Rebozados de Pollo,
,,,,SIN,,Salchichas,
,,,,SIN MARCA,,Salchichas Vegetarianas,
,,,,SWIFT,,Salteados de Verduras,
,,,,TRES CRUCES,,Supremas,
,,,,TUTTO,,Supremas de Espinaca,
,,,,UNION GANADERA,,Supremas de Pollo,
,,,,Vegabundancia,,Tabletas Heladas,
,,,,VEGETALEX,,Tiramisús,
,,,,VEGGIELAND,,Tortas,
,,,,Wanna V,,Yogur Helado,
,,,,ZEN,,,
