Categoría,Sub-Categoría,Capacidad de Lavado,Capacidad de Secado,Capacidad Total,Conectividad,Consumo de Energía,Eficiencia Energética,Frigorías,Inverter,Marca,Memoria RAM,Número de Hornallas,Número de Velocidades,Origen,Potencia,Pulgadas,Resolución,Sistema de Enfriamiento,Sistema Operativo,Smart TV,Tipo de Carga,Tipo de Dispensadores,Tipo de Gas,Tipo de Producto,Tipo de Secado,Tiro,Velocidad Centrifugado
Aire Acondicionado y Ventilación,Accesorios de Celulares,10 cubiertos,15 Kg,117 L,Bluetooth,1200 W,A,3.000 a 3.999,No,AIWA,12 GB,4 Hornallas,1 Velocidad,Importado,10 W,"10,1""",1366/768,Frío Combinado,Android,Sí,Frontal,Agua,Gas Butano,Accesorios de Audio,Bomba De Calor,Natural,1000 RPM
Audio,Accesorios de TV y Video,14 Cubiertos,5 L,120 L,Wifi,1600 W,A+,4.000 a 4.990,Sí,ARIETE,16 Gb,5 Hornallas,2 Velocidades,Nacional,1000,"12""",1366x768,Frío Directo,Android™ 11,,Superior,Hielo-Agua,Gas Licuado y Natural,Accesorios Gamers,Condensación,,1100 Rpm
"Calefacción, Calefones y Termotanques",Aire Acondicionado,15 Kg,5.5 Kg,164 L,Wifi+Bluetooth,220 W,A++,5.000 a más,,ATMA,2 GB,Sin Hornallas,3 Velocidades,,1000 W,15,1920x1080,No Frost,Windows,,,Sin Dispensador,Gas Natural,Adaptadores,Ventilación,,1200
Cocinas y Hornos,Anafes,22 Kg,6 Kg,179 L,,6.978 kW/h,A+++,,,AXEL,3 GB,,5 Velocidades,,1050 W,"15""",3840 x 2160,,,,,,Sin Gas,Afeitadoras Eléctricas,,,1200 RPM
Consolas y Videojuegos,Aspiradoras,5 a 7 Kg,6.5 kg,21 Botellas,,6000 Kcal/Hs,B,,,BGH,4 GB,,6 Velocidades,,1100 W,"27""",3840 x 2160 píxeles,,,,,,,Aire Acondicionado Portátil,,,1400
"Heladeras, Freezers y Cavas",Batidoras,5 Cubiertos,7 Kg,215 L,,7500 Kcal/Hs,G,,,CANDY,6 GB,,,,1200 W,32,3840*2160,,,,,,,Aire Acondicionado Split,,,1400 R/p
Informática,Cafeteras y Molinillos,5 Kg,8 Kg,231 Lts,,Medio,,,,CANON,8 GB,,,,1200W /AC220-240V 50/60Hz,"32""",3840x2160,,,,,,,Aire Acondicionado Split Inverter,,,1400 RPM
Lavado,Calefacción,6 Kg,,242 L,,,,,,COLUMBIA,8GB,,,,1300 W,"37"" a 85""","4K (3,840 x 2,160)",,,,,,,All in One,,,1600 R/p
Pequeños Electros,Calefones,7 Kg,,264 L,,,,,,CRIVEL,Sin Ram,,,,1300W,"37""-70""",5 MP,,,,,,,Anafes a Gas,,,1600 RPM
Teléfonos,Celulares,8 a 10 Kg,,280 L,,,,,,CROWN MUSTANG,,,,,1340 W,43,Resolución de video: 1366 x 768,,,,,,,Android TV,,,2800 RPM
,Cocinas,8 Kg,,281 L,,,,,,DAEWOO,,,,,1350 W,"43""",Resolución de video: 1920*1080 (FHD),,,,,,,Antenas,,,600 RPM
,Cuidado Personal,9 Kg,,282 L,,,,,,DIRECTV,,,,,"1350 W – 1550 W, Clase I",50,Resolución de video: 3840X2160,,,,,,,Aspiradoras Ciclónicas,,,700 Rpm
,Cámaras de Seguridad,"9,5 Kg",,299 L,,,,,,DOLCE GUSTO,,,,,1400,"50""",,,,,,,,Aspiradoras de Arrastre,,,740 Rpm
,Freezers,"9,5 L",,300 L,,,,,,DOMEC,,,,,1400 W,55',,,,,,,,Aspiradoras de Mano,,,Hasta 1000 Rpm
,Heladera Cíclica,,,318 L,,,,,,DOMESTIC,,,,,1400w,"6,6",,,,,,,,Aspiradoras Robot,,,No
,Heladera No Frost,,,321 L,,,,,,DREAN,,,,,"1400W - 1650W, Clase I","6,6""",,,,,,,,Aspiradoras Trineo,,,
,Heladeras Cavas,,,326 L,,,,,,ELECTROLUX,,,,,15 W,6.3,,,,,,,,Aspiradoras Verticales,,,
,Hornos,,,330 L,,,,,,EPSON,,,,,1500,"6.5""",,,,,,,,Auriculares,,,
,Lavarropas,,,333 L,,,,,,ESLABON DE LUJO,,,,,1500 W,6.6,,,,,,,,Auriculares Inalámbricos,,,
