Categoría,Sub-Categoría,Grupo,Marca,Tipo de Producto
Frutas,Frutas Congeladas,Frutos Deshidratados,ALIF AGRO,Acelgas
Hierbas Aromáticas y Plantines,Frutas Empaquetadas,Frutos Secos,AVICOPER,Achicorias
Huevos,Frutas Secas y Desecadas,Otras Frutas,BUY & EAT,Ajos
"Legumbres, Granos y Semillas",Frutas Sueltas,,CARNAVE,Ají
Orgánicos,Hortalizas Livianas,,CUISINE & CO,Ají Molido
Verduras,Hortalizas Pesadas,,DOÑA LALA,Ajíes en Vinagre
,Verduras Empaquetadas,,FLAMINGO,Akusay
,Verduras Frescas de Hoja,,FRESH,Albahacas
,Verduras Procesadas y Ensaladas Listas,,GANSO AZUL,Alcauciles
,Verduras Secas y Desecadas,,GREEN LIFE,Almendras
,,,HONGOS DEL PILAR,Ananás
,,,HUMOS,Apios
,,,KARINAT,Aromatizadores
,,,KOSFOOD,Arroz Integral
,,,MAXIMA,Arroz Preparado
,,,MENAYS,Arroz Thai
,,,MONTECOMAN,Arándanos
,,,MOÑO AZUL,Avellanas
,,,NUTRACEUTICA STURLA,Bananas
,,,POLYCHACO,Batatas
,,,PORTO,Bayas
,,,POSTREFINO,Berenjenas
,,,ROCKY,Brotes de Alfalfa
,,,ROCO,Brotes de Soja
,,,SANES,Brócolis
,,,SANTA MARIA,Calabazas
,,,SERENO,Castañas de Cajú
,,,SIN MARCA,Cazuela de Hortalizas
,,,SONG,Cañas de Azúcar
,,,SUEÑO VERDE,Cebollas
,,,TERRASOL,Cebollitas
,,,TODO RESUELTO,Champiñones
,,,VEQUA,Chauchas
,,,VERDULERIA PROPIA,Chia
,,,,Chimichurris
,,,,Choclos
,,,,Chocolates
,,,,Cilantros
,,,,Ciruelas
,,,,Cocos
,,,,Coliflor
,,,,Condimentos
,,,,Couscous
,,,,Curry
,,,,Cúrcumas
,,,,Damascos
,,,,Duraznos
,,,,Dátiles
,,,,Endivias
,,,,Ensaladas
,,,,Ensaladas Mixtas
,,,,Espinacas
,,,,Espárragos
,,,,Frutas del Dragón
,,,,Frutillas
,,,,Frutillas Congeladas
,,,,Frutos Rojos Congelados
,,,,Garbanzos
,,,,Garrapiñadas
,,,,Girgolas
,,,,Granadas
,,,,Granolas
,,,,Guayabas
,,,,Harina de Garbanzo
,,,,Harina de Lino
,,,,Harina de Quinoa
,,,,Harina Especial
,,,,Higos
,,,,Hinojos
,,,,Hongos
,,,,Huevos
,,,,Huevos de color
,,,,Huevos de Gallina
,,,,Jengibres
,,,,Kales
,,,,Kiwis
,,,,Lechugas
,,,,Lentejas
,,,,Limones
,,,,Limpiadores de Pisos
,,,,Mandarinas
,,,,Mangos
,,,,Manzanas
,,,,Maní con Chocolate
,,,,Maní Confitado
,,,,Maní Japonés
,,,,Maní Pelado
,,,,Maní Salado
,,,,Maní Tostado
,,,,Maracuyás
,,,,Maíz Molido
,,,,Medallón de Durazno
,,,,Melones
,,,,Membrillos
,,,,Mix de Especias
,,,,Mix de Frutas
,,,,Mix de Frutos Secos
,,,,Mix de Semillas
,,,,Mix de Verduras
,,,,Mix Vegetales
,,,,Moras
,,,,Naranjas
,,,,Nueces
,,,,Paltas
,,,,Papas
,,,,Papayas
,,,,Pasas
,,,,Pepinos
,,,,Peras
,,,,Perejil
,,,,Pestos
,,,,Pimentones
,,,,Pimientas
,,,,Pimientos
,,,,Pistachos
,,,,Plantines
,,,,Pomelos
,,,,Porotos
,,,,Provenzales
,,,,Puerros
,,,,Puré de Zapallo
,,,,Radichetas
,,,,Remolachas
,,,,Repollos
,,,,Romeros
,,,,Rábanos
,,,,Rúculas
,,,,Sal Condimentada
,,,,Sal Fina
,,,,Salsas Blancas y Especiales
,,,,Salsas César
,,,,Sandías
,,,,Semillas de Girasol
,,,,Semillas de Lino
,,,,Semillas de Quinoa
,,,,Semillas de Sésamo
,,,,Snacks Vegetales
,,,,Sopas de Verduras
,,,,Tomates
,,,,Tomates Deshidratados
,,,,Uvas
,,,,Verduras Cocidas
,,,,Zanahorias
,,,,Zapallos
,,,,Zapallos Anco
