Categoría,Sub-Categoría,Aroma,Cantidad,Cantidad de Luces,Color,Contenido,Género,Marca,Material,Plazas,Rodado,Talle,Tipo de Luz,Tipo de Producto,Tipo de Zócalo
Automotor,Accesorios,Cherry,1 un.,1 Luz,Amarillo,1 Kg,Hombre,3M,100 Algodón,1 Plaza,Sin Rodado,1,Cálida,Ablandadores,E27
Baño,Accesorios de Baño,Citrus,5 un.,,Azul,1 L,Mujer,AIR PERFUM,100% Acero Inoxidable con Revestimiento de Color,1.5 Plazas,,10,Fría,Abrelatas,
Cocina,Accesorios de Cocina,Coco y Vainilla,,,Beige,1 Un,Niña,AKAPOL,100% Acrilonitrilo,Queen,,10 A 12,LED,Accesorios Camping,
Colchones y Almohadas,Accesorios de Electricidad,Gardenia,,,Blanco,10 Gr,Niñas y Niños,ALANIZ,100% Algodón,Súper King,,100,Neutra,Accesorios de Baño,
Cotillón,Accesorios de Mesa,Ginger Caramel,,,Celeste,100 Cc,Niño,ALPES,100% Dolomita,,,105,RGB,Aceiteras y Vinagreras,
Decoración,Accesorios para el Auto,Gris,,,Gris,12 Ml,Unisex,AMEFA,100% Madera,,,110,,Acolchados,
Ferretería,Accesorios Plásticos,Lila,,,Marrón,125 Cc,,ANDROS,100% Melamina,,,12,,Adhesivo,
Indumentaria,"Acolchados, Mantas y Frazadas",Maracuyá,,,Naranja,140 Gr,,ARETHA,100% Poliester,,,12 A 36,,Adhesivos de Contacto,
Mesa,"Adhesivos, Cintas y Sogas",Petroleo,,,Negro,2 Unidades,,ARMOR ALL,100% Polipropileno,,,12 al 16,,Adhesivos Montaje,
Muebles,Adornos,Rosa,,,Rojo,250 Cc,,AROMANZA,100% polipropileno virgen,,,12 al 36,,Adhesivos Selladores,
Organizacion,Adultos,Sandia y Pepino,,,Rosa,260 Gr,,Aromas Spirit,100% Silicona,,,12m,,Afiladores de Cuchillos,
Ropa de Cama,Alfombras,Sweet Dreams,,,Surtido,260 Ml,,ASTON,50% ABS + 45% Flocado de Nylon + 5% Gancho Cromado,,,12m/3A,,Agarraderas,
,Almohadones,Vainilla,,,Transparente,30 g,,ATOM,50% Silicona + 50% Propileno,,,14,,Aguas Desmineralizadas,
,"Aromatizadores, Velas y Accesorios",Verbena Fresias,,,Verde,350 Cc,,BARDAHL,55%Algodon 45%Poliester,,,16,,Alargues,
,Artículos para Horno y Fuego,Win Home,,,Violeta,4 Unidades,,Bel Gioco,"60 Algodón, 40 Poliéster",,,17 A 20,,Alfombras para Autos,
,Baldes y Cestos de Basura,,,,,440 Cc,,Bellalux,60% MDF + 30% PP + 5% Cerámica + 5% SS 201,,,18,,Alfombras para Baño,
,Bebés,,,,,490 Cc,,BELL´S,60%Algodon 35%Poliester 5%Spandex,,,18m,,Algodoneros,
,Bolsa para Horno y Freezer,,,,,5 L,,BIPO,73% Algodón 25% Poliéster 2% Elástico,,,19 A 26,,Almohadas,
,"Bowls, Ensaladeras, Fuentes y Bandejas",,,,,55 Gr,,BLISTERPRAC,80 poliamida 20elastano,,,2,,Almohadas Viscoelásticas,
,Cajas Organizadoras,,,,,580 Cc,,BROQUEL,90 poliamida 10 elastano,,,2-4,,Almohadones,
,Calzado,,,,,600 Cc,,BY ROSTEN,90% Acero al Carbono + 9% Silicona + 1% Recubrimiento,,,21 A 26,,Apliqués,
,Candados,,,,,80 Gr,,BZP,"95 Algodón, 5 Spandex",,,24,,Aromantizantes,
,Carros de Compra,,,,,De 400 ml a 600 ml,,CALIFORNIA SCENTS,95% Algodón 5% Spandex,,,24 A 36,,Aromatizadores,
,Cestería y Cajas Deco,,,,,Hasta 100 g,,CANDELA,99% Acero al Carbono + 1% Recubrimiento,,,25 A 34,,Aromatizantes,
,Colchones,,,,,Hasta 100 Gr,,CANNON,99% Acero al Carbono + 1% Recubrimiento,,,25-34,,Asaderas,
,Cotillón,,,,,Hasta 150 ml,,CARINE,Acacia,,,3,,Autobrillos,
,Cubiertos,,,,,Kit,,CAROL,Acero,,,3 A 12,,Azucareras,
,Decoración de Pared,,,,,Más de 200 g,,CENTRO ESTANT,Acero + Plástico,,,30 A 33,,Balizas Autos,
,Escaleras,,,,,Más de 200 Gr,,CHUNA,Acero Inoxidable,,,30/37,,Bancos,
,"Frascos, Botellas y Jarras",,,,,Más de 650 ml,,CIUDADELA,Acero Inoxidable + Madera,,,31 A 32,,Bandejas,
,Herramientas,,,,,,,CLUB DEL POSTER,Acero inoxidable / Plástico,,,33 A 34,,Bandoleras,
,Herramientas Eléctricas,,,,,,,COCOT,Acero Inoxidable y Goma,,,34 A 36,,Banquitos,
,Indumentaria Escolar,,,,,,,COLOMBRARO,Acero/Madera,,,34 A 39,,Barral para Cortina de Baño,
,Infusiones,,,,,,,COLONIAL,Acero/Plastico,,,35 a 36,,Barras Adhesivas,
,Jarros y Tazas,,,,,,,COMMAND,Acrílico,,,35 A 41,,Basureros,
,Lavado y Planchado,,,,,,,CONTIGO,Alambre,,,35-36,,Bengalas,
,Limpieza,,,,,,,CRISA,Algodon y Poliester Morley,,,35-40,,Biferas,
,Lubricantes y Refrigerantes,,,,,,,CRISTAL DE BOHEMIA,"Algodon, Poliester y Elastano",,,36,,Blusas,
