Categoría,Sub-Categoría,Cantidad,Contenido,Envase,Formato,Marca,Tipo de Producto,Variedad
Accesorios de Limpieza,Absorbe Humedad,1 Un,1 kg,Aerosol,Aerosol,ACE,Abrillantadores para Lavavajillas,Doble Hoja
Calzado,Aerosoles,1 Unidad,1 L,Aparato,Bolsa,AER,Antigrasas,Triple Hoja
Cuidado Para La Ropa,Aparatos,10 Un,1 L - 2 L,Bidón,Botella,ALA,Aprestos,Una Hoja
Desodorantes de Ambiente,Aprestos y Blanqueadores,11 un.,120 g,Blister,Diluible,ALKLIN,Aromatizadores,
Insecticidas,Aromatizantes,12 un.,130 g,Bolilla,Doy Pack,ARCO IRIS,Aromatizante,
Lavandina,Baldes y Mopas,140 Un,175 g,Bolsa,En Pan,ARGENTINO,Aromatizantes,
Limpieza de Baño,Bolsas,150 un.,200 ml,Bolsa Bicarbonato,En Pasta,ARIEL,Autobrillos,
Limpieza de Cocina,Brillos y Revividores,1U,250 g - 500 g,Botella,En Polvo,Arm & Hammer,Baldes,
Limpieza de Pisos y Muebles,"Cebos, Bolillas y Pastillas",2 Un,250 ml - 500 ml,Botellón,Espiral,Aromas Spirit,Bolsas de Compras,
Papeles,Cepillo Para Ropa,3 U,300 ml,Caja,Gatillo,AROMASS,Bolsas de Residuos,
,Ceras y Autobrillos,3 un.,400 ml,Canasta Solida,Gel,ASURIN,Bolsas Ecológicas,
,Desinfectantes,30 U,500 ml,Doy Pack,Jeringa,AYUDIN,Bolsas Multiuso,
,Desodorantes y Desinfectantes,4 un.,500 ml - 750 ml,Doypack,Líquido,BANDERITA,Bolsas Reutilizables,
,Destapa Cañerías,6 un.,636 Ml,Doypack Bicarbonato,Líquido | Presentación: Gatillo,BAYGON,Cabos para Escobas,
,Detergente Para Ropa,80 Un,750 g - 1 kg,Frasco,Polvo,BETTANIN,Cepillos de Baño,
,Detergentes,,750 ml,Gatillo,Sólido,BLEM,Cepillos de Limpieza,
,Escarbadientes,,750 Ml - 1 L,Lata,Tabletas,BRILL,Cepillos de Uñas,
,Escobas y Escobillones,,80 g,Malla,,CAMELLITO,Ceras para Pisos,
,Escobillas,,802 Gr,Paquete,,CAMPANITA,Desengrasantes,
,Esponjas y Guantes,,875 Ml,Pastilla,,CASCADE,Desinfectantes,
,Fósforos,,900 ml,Pastilla en bloque,,CERAMICOL,Desodorantes de Ambientes,
,Jabón en Pan,,Mayor a 2 kg,PET,,CIF,Destapa Cañerias,
,Limpiadores,,Mayor a 2 L,Pote,,COBRA,Detergentes,
,Limpiadores de Pisos,,Menor a 250 g,Repuesto,,COMFORT,Detergentes Lavavajillas,
,Limpiavidrios,,Menor a 250 ml,Sachet,,COSTERO,Detergentes para Ropa,
,Lustramuebles,,,Tableta,,DESES PLAST,Difusores,
,Palas y Cabos,,,Tarro,,DOWNY,Escarbadientes,
,Papel Higiénico,,,,,ECHO,Escobas y Escobillones,
,Pastillas y Bloques,,,,,ECOVITA,Escobillas,
,Paños Multiusos,,,,,ELEGANTE,Especieros,
,Pañuelos,,,,,ELITE,Esponjas,
,Perfumantes,,,,,ESFREBOM,Esponjas de Cocina,
,Polvos y Líquidos,,,,,FAMILY CARE,Fósforos,
,Pomadas Para Calzado,,,,,FEBREZE,Gel de Limpieza,
,Productos Para Lavavajillas,,,,,FELPITA,Guantes,
,Quitamanchas,,,,,FINISH,Guantes de Cocina,
,Repelentes,,,,,FUYI,Guantes de Limpieza,
,Rollos de Cocina,,,,,GIGANTE,Guantes de Látex,
,Secadores y Cepillos,,,,,GLADE,Insecticidas,
,Servilletas,,,,,GLADE AUTO SPORT,Jabones de Tocador,
,Suavizantes,,,,,GLOW,Jabones en Pan,
,Tabletas y Difusores,,,,,GO!,Jabones en Polvo,
,Trapos de Piso,,,,,GRAN FEDERAL,Jabones Líquidos,
,,,,,,GRANBY,Lavandinas,
,,,,,,HARPIC,Lavavajillas,
,,,,,,HEROE,Limpiadores de Alfombras,
,,,,,,HIGIENOL,Limpiadores de Baños,
,,,,,,HOME CARE,Limpiadores de Inodoros,
,,,,,,I LOVE BICARBONATO,Limpiadores de Metales,
,,,,,,IDEAL,Limpiadores de Pisos,
,,,,,,JUMBO,Limpiadores de Vidrios,
,,,,,,JUMBO FAMILY CARE,Limpiadores de Zapatos,
,,,,,,JUMBO HOME CARE,Limpiadores Multiusos,
,,,,,,LA GAUCHITA,Limpiavidrios,
,,,,,,LIMPIALIN,Lustramuebles,
,,,,,,LYSOFORM,Palas,
,,,,,,LYSOL,Palitos de Brochette,
,,,,,,MAGISTRAL,Papeles Higiénicos,
,,,,,,MAPA,Pastillas para Inodoros,
,,,,,,MEDIA NARANJA,Paños de Limpieza,
,,,,,,MORTIMER,Paños de Microfibra,
,,,,,,MR MUSCULO,Paños Multiusos,
,,,,,,MULTIMAX,Pañuelos Descartables,
,,,,,,NOVICA,Perfumantes para Ropa,
,,,,,,OFF,Plastilinas y Masas,
,,,,,,OXICLEAN,Plumeros,
,,,,,,PATO,Quitamanchas,
,,,,,,PINOLUZ,Renovadores de Calzado,
,,,,,,PLOMERO,Reparador de Muebles,
,,,,,,POETT,Repelentes,
,,,,,,PROCENEX,Repuestos Aromatizadores,
,,,,,,RAID,Repuestos para Insecticidas,
,,,,,,RANCHERA,Rodillos,
