Categoría,Sub-Categoría,Contenido,Elaboración,Envase,Marca,Sabor,Tipo de Producto
Alimentos Vegetales,Bebidas Vegetales,1 kg,Sin Gluten,Frasco,ACTIMEL,Americana,Alimentos Lácteos
Cremas,Embutido,1 L,Vegano,Pote,ACTIVIA,Anana,Alimentos Vegetales
Dulce de Leche,Fideos y Ñoquis,200 Ml,,,Aiken,Apple Crumble,Arroz con Leche
Leches,Grasas,200 ML.,,,AMANDE,Arandano,Bebidas Lácteas
Mantecas y Margarinas,Hummus y Otros,250 g - 500 g,,,AMICI,Banana,Bebidas Vegetales
Pastas Frescas y Tapas,Leches Larga Vida,250 Gr - 500 Gr,,,BEEPURE,Café,Capellettis
Pastas y Tapas,Leches Refrigeradas,900 Ml,,,BIBA,cereal con azucar,Carnes Veganas
Postres,Leches Saborizadas,,,,BIMBO,Cereza,Cremas Chantilly
Yogures,Manteca,,,,CALSA,Choco Cake,Cremas de Leche
,Margarinas,,,,CASANTO,Chocolate,Cremas para Batir
,Masas y Levaduras,,,,CINDOR,Coco,Cuernitos
,Pastas Rellenas,,,,COCOIOGO,Coco Y Dulce De Leche,Dulce de leche
,Postres vegetales,,,,CUISINE & CO,Dulce De Leche,Dulces de Leche
,Queso,,,,DAHÍ,Durazno,Facturas
,Tapas,,,,DANETTE,Frambuesa y Coco,Fideos Penne
,Yogures Descremados,,,,DANICA,Frutilla,Flanes
,Yogures Enteros,,,,DANONINO,Frutilla y Arándanos,Grasa
,Yogurt,,,,DELICIAS DE LA OMA,Frutillas,Grasas para Cocinar
,,,,,Doña Flora,Frutos del bosque,Hummus
,,,,,DOÑA NOLY,Frutos Rojos,Leche Chocolatada
,,,,,ESANI,Key Lime,Leche Descremada
,,,,,FAMILIA BEAUDROIT,Limón,Leche en Polvo
,,,,,FELICES LAS VACAS,Manzana,Leche Entera
,,,,,GRANJA DEL SOL,Multifruta,Leches
,,,,,ILOLAY,Natural,Leches Cultivadas
,,,,,JUMBO ARTESANAL,Tomate,Leches Descremadas
,,,,,KYROS,Vainilla,Leches Entera
,,,,,LA DELFINA,,Leches Saborizadas
,,,,,LA ITALIANA,,Levaduras
,,,,,LA PAULINA,,Mantecas
,,,,,LA SALTEÑA,,Margarina
,,,,,LA SERENISIMA,,Masas para Pastas
,,,,,LA SERENÍSIMA CLÁSICO,,Masas para Tartas
,,,,,LAS TRES NIÑAS,,Milanesas
,,,,,LAS TRES NIÑAS & YO,,Panzottis
,,,,,LEVEX,,Pastas Frescas
,,,,,LORELEY,,Pastas Rellenas
,,,,,LSCLASICO,,Postres
,,,,,LUCCHETTI,,Postres Lácteos
,,,,,MANFREY,,Quesos
,,,,,MANTY,,Quesos Cheddar
,,,,,MARGADAN,,Quesos Cremoso
,,,,,MAXIMA,,Quesos Rallado
,,,,,MENDIA,,Quesos Untables
,,,,,MENDIA CORMILLOT,,Ravioles
,,,,,MI PAN,,Salchichas
,,,,,MILKAUT,,Sorrentinos
,,,,,NARBONA,,Tapas de Copetín
,,,,,NESQUIK,,Tapas de Empanadas
,,,,,NIDO,,Tapas de Pascualinas
,,,,,NUTREE,,Tapas de Pastelitos
,,,,,Oralí,,Tortillas
,,,,,PUNTA DEL AGUA,,Yogur Descremado
,,,,,PUNTO & PASTA,,Yogur Entero
,,,,,RANA,,Yogures Enteros
,,,,,SAN IGNACIO,,Yogurt Descremado
,,,,,SENSE,,Yogurt Entero
,,,,,SER,,Yogurt Firme
,,,,,SERENITO,,Yogurt Semidescremado
,,,,,SIGNO DE ORO,,Yogurts
,,,,,Silk,,Ñoquis
,,,,,SIN MARCA,,
,,,,,SWIFT,,
,,,,,Tia Rosa,,
,,,,,TIPICO,,
,,,,,TONADITA,,
,,,,,TREGAR,,
,,,,,Vegabundancia,,
,,,,,VEGETALEX,,
,,,,,VEGGIELAND,,
,,,,,VIAVEG,,
,,,,,VILLA D'AGRI,,
,,,,,Wanna V,,
,,,,,YOGURADE,,
,,,,,YOGURISIMO,,
