Categoría,Sub-Categoría,Contenido,Etapa,Marca,Tamaño,Tipo de Producto
Accesorios para Mascotas,Húmedos,1 kg - 5 kg,Adulto,ABSORSOL,Grande,Accesorios para Mascotas
Gatos,Secos,100 g,Todas las Etapas,ALTA GAMA by Absorsol,Mediano,Alimentos para Gatos
Perros,,85 g,,Asaditos,Mediano - Grande,Alimentos para Perros
,,Mayor a 10 kg,,CAT CHOW,Mini - Pequeño,Arena Sanitaria
,,Menor a 1 kg,,DOG CHOW,,Arneses para Perros
,,,,DOGUI,,Camas para perros
,,,,GATI,,Cepillos para Calzado
,,,,GATO FELIX,,Collares para Gatos
,,,,KING FOOD,,Collares para Perros
,,,,ONE,,Comederos y Bebederos
,,,,PEDIGREE,,Correas para Perros
,,,,Pet CanCat,,Dispensadores
,,,,PET' S CLASS,,Higiene para Mascotas
,,,,PET'S FUN,,Lustramuebles
,,,,PURINA,,Sanitarios Gatos
,,,,SABROSITOS,,Shampoo para Mascotas
,,,,WHISKAS,,Snacks para Gatos
,,,,,,Snacks para Perros
