Categoría,Marca,Sub-Categoría,Porciones,Tipo de Producto
Panadería Salada,ELABORACION PROPIA,Panificados,1 Porción,Alfajores de Maicena
Pasteleria,FRESH,Pizzas y Focaccias,6,Alfajores Negros
,JUMBO ARTESANAL,Sandwiches de Miga,,Bizcochos
,LA PANADERIA,,,Bizcochuelos
,MENDIA,,,Budines
,PANADERIA PROPIA,,,Cheesecakes
,SIN MARCA,,,Chocolate
,,,,Ciabattas
,,,,Cremonas
,,,,Donas
,,,,Esponjas de Cocina
,,,,Facturas
,,,,Focaccias
,,,,Galletas Marineras
,,,,Grisines
,,,,Limón
,,,,Manzana
,,,,Medialunas
,,,,Muffins
,,,,Pan Baguette
,,,,Pan Chips
,,,,Pan de Hamburguesa
,,,,Pan de Miga
,,,,Pan de Molde
,,,,Pan de Pancho
,,,,Pan de Salvado
,,,,Pan de Semillas
,,,,Pan Estrella
,,,,Pan Flauta
,,,,Pan Pebete
,,,,Pasta Frola
,,,,Pastelitos
,,,,Piononos
,,,,Pizzas Congeladas
,,,,Pizzetas
,,,,Prepizzas
,,,,Selva Negra
,,,,Sándwiches
,,,,Tartas
,,,,Tortas
,,,,Tortas Materas
,,,,Tostadas
,,,,Tradicional
,,,,Vigilantes
