Categoría,Sub-Categoría,Beneficios,Cantidad,Contenido,Etapa,Formato,Marca,Tipo de Cabello,Tipo de Dureza,Tipo de Piel,Tipo de Producto,Tono,Zona de Aplicación
Cuidado Capilar,Accesorios Dentales,Aclarante,100 Unidades,110 Ml,Adultos,Aerosol,ACQUA DI COLBERT,Cabello Castaño,Medio,Todo Tipo de Piel,Aceites para el Pelo,N° 1.0: Negro Natural,Cuerpo
Cuidado de la Piel,Acondicionador,Alisante,16 Unidades,120 Ml,Niños,Barra,ALCOPROTECT,Cabello Dañado,Suave,,Acondicionadores,N° 10.13: Rubio Ceniza Dorado,Cuerpo y Manos
Cuidado Oral,Alcohol,Anti-Acné,20 Unidades,155 Grs,Todas las etapas,Crema,ALGABO,Cabello Débil,,,After Shave,N° 10: Rubio Extra Claro,Cuerpo y Rostro
Cuidado Personal,Algodón,Anti-Arrugas,24 Unidades,170 Grs,,Gel,ALWAYS,Cabello Graso,,,Agua Oxigenada,N° 120: Rubio Ultra ClaroNatural,Manos
Farmacia,Apósitos,Anti-Caspa,60 un.,180 Ml,,Líquido,AXE,Cabello Liso,,,Aguas Micelares,N° 121: Rubio Ultra Claro Ceniza,Piernas
Maquillaje,Cepillos Dentales,Anti-Caída,60 Unidades,190 Ml,,Paquete,BAND AID,Cabello Normal,,,Alcohol en Gel,N° 1: Negro,Rostro
,Cepillos para Pelo,Anti-Celulitis,8 un.,200 Gr,,Polvo,BENJAMIN VICUÑA,Cabello Rebelde,,,Alcohol Etílico,N° 2.0: Moreno Muy Oscuro Natural,
,Cepillos y Esponjas,Anti-Edad,8 Unidades,200 Ml,,Roll On,BIALCOHOL,Cabello Rizado,,,Algodón,N° 2.8: Negro Violaceo,
,Coloración,Anti-Estrías,,25 Ml,,,BIC,Cabello Seco,,,Apósitos,N° 3.0: Castaño Oscuro Natural,
,Cremas Corporales,Brillo,,250 Ml,,,BIFERDIL,Todo Tipo de Cabello,,,Bandas Depilatorias,N° 3.0U: Castaño Oscuro Profundo,
,Cremas Desmaquillantes,Brillo Extremo,,250 ml - 500 ml,,,BUSHI,,,,Baños de Crema,N° 4.0: Castaño Medio Natural,
,Cremas Faciales,Fortalecedor,,295 Ml,,,CALIPSO,,,,Body Splash,N° 4: Castaño Medio,
,Cuidado de Uñas,Hidratación,,300 Gr,,,CAPILATIS,,,,Bálsamos Hidratantes,N° 5.0: Castaño Claro,
,Depilación,Limpieza y Exfoliación,,300 Ml,,,CAREFREE,,,,Bálsamos Labiales,N° 5.2: Castaño Claro Violaceo,
,Desodorantes de Hombres,Liso Extremo,,311 Grs,,,CAVIAHUE,,,,Cepillo de Dientes,N° 5.7: Castaño Claro Calido,
,Desodorantes de Mujer,Liso y Sedoso,,340 Ml,,,CHESTER,,,,Cepillo Interdental,N° 6.0: Rubio Oscuro Natural,
,Desodorantes y Polvos Pédicos,Multibeneficios,,350 Ml,,,Cicatricure,,,,Cepillos de Dientes,N° 6.62: Rubio Oscuro Rojizo Violaceo,
,Enjuagues Bucales,Nutrición,,360 Ml,,,CIEL,,,,Cepillos de Dientes Infantiles,N° 6.73: Rubio Dorado Calido,
,Fijación,Reafirmante,,375 Ml,,,CLOSE UP,,,,Cepillos de Pelo,N° 6.7: Rubio Oscuro Marron,
,Jabones,Repara y Protege,,385 Ml,,,COLBERT,,,,Cepillos Interdentales,N° 6.7: Rubio Oscuro Rojizo,
,Otros,Rizos Definidos,,400 G,,,COLGATE,,,,Ceras Depilatorias,N° 6.7P: Rubio Oscuro Marron Intenso,
,Pastas Dentales,,,400 Ml,,,COOL&GOOD,,,,Ceras Ortodónticas,N° 6646: Rubio con Reflejo Rojo intenso,
,Preservativos,,,415 Ml,,,Cor Intensa,,,,Ceras para Peinar,N° 6660: Rubio Rojizo Intenso,
,Productos Para Afeitarse,,,420 Ml,,,COREGA,,,,Cremas Adhesivas para Prótesis Dentales,N° 6: Rubio Oscuro,
,Protección Adultos,,,45 Gr,,,CURITAS,,,,Cremas Anti Arrugas,N° 7.0: Rubio Medio Natural,
,Protección Femenina,,,47 Gr,,,CUTEX,,,,Cremas Contorno de Ojos,N° 7.0U: Rubio Medio Natural Profundo,
