Categoría,Marca,Tipo de Producto
Mariscos,Artesanos del mar,Abadejos
Pescados,MARDI,Almejas
,PESCADERIA PROPIA,Anchoitas
,PORTOBELO,Anillas de Calamar
,PUERTO PLATA,Arenques
,REGENTE,Berberechos
,SIN MARCA,Bogas
,SOUTH WIND,Calamares
,SUPERBE,Camarones
,,Caviares
,,Chernias
,,Colas de Calamar
,,Cornalitos
,,Filetes Marinados
,,Gatuzos
,,Langostinos
,,Medallón de Merluza
,,Medallón de Salmón
,,Mejillones
,,Merluzas
,,Meros
,,Mix de Mariscos
,,Ostiones
,,Pacú
,,Palometas
,,Pescados
,,Pez Gallo
,,Pulpos
,,Rabas
,,Robalos
,,Salmón
,,Supremas de Merluzas
,,Tartas de Merluzas
,,Tartas de Salmón
,,Truchas
,,Tubos de Calamar
,,Vieiras
