Categoría,Sub-Categoría,Contenido,Envase,Formato,Marca,Tipo de Producto,Variedad
Dulces,Fiambres,1 kg,Bandeja,Crema,ADLER,Aceitunas Descarozadas,Ahumado
"Encurtidos, Aceitunas y Pickles",Jamón Cocido y Crudo,1 kg - 2 kg,Doy Pack,Entero,ALLOA VANGUARD,Aceitunas Negras,Artesanal
Fiambres,Queso Muzzarella,100 g,Frasco,Envasado,APETINA,Aceitunas Rellenas,Azul
Quesos,Quesos Duros,120 g,Lata,Láminas,ARCOR,Aceitunas Verdes,Blanco
Salchichas,Quesos Especiales e Importados,125 g,Paquete,Rallado,ARLA,Alimentos Lácteos,Brie
,Quesos Port Salut y Cremosos,130 g,Pote,Rodajas,ARRIVATA,Berenjenas en Escabeche,Cabra
,Quesos Rallados,144 g,Pouch,Trozo,Barraza,Bondiolas,Camembert
,Quesos Semiblandos,150 g,,Trozos,BAVARIA,Cebollitas,Cuatro Quesos
,Quesos Untables,160 g,,,BEEMSTER,Chorizos,Danbo
,Ricota,180 g,,,BOCATTI,Chutney,Fontina
,,180 Gr,,,CABAÑA ARGENTINA,Clavos Cabeza Chata,Gruyere
,,1kg - 2 kg,,,CABAÑA PIEDRAS BLANCAS,Corazones de Alcaucil,Light
,,200 g,,,CAGNOLI,Cremas de Alcauciles,Por Salut
,,200 Gr,,,CALCHAQUI,Dulces de Batata,Premium
,,200 gr aprox,,,CAMPO AUSTRAL,Dulces de Membrillo,Provoleta
,,220 g,,,CASANCREM,Dulces de Zapallo,Saborizado
,,250 g,,,CASTELL,Escabeches,Tradicional
,,250 g - 450 g,,,CEPERA,Espárragos,Viena
,,250 g - 500 g,,,CHACRA 43,Fondue de Queso,
,,300 g,,,CRISTO DE LOS CERROS,Hojas de Parra,
,,500 g,,,CUISINE & CO,Hummus,
,,60 g,,,DEVELEY,Insecticidas,
,,70 g,,,DODONI,Jamón Asado,
,,700 Gms Aprox,,,DOINA,Jamón Cocido,
,,80 g,,,DON RAMON,Jamón Crudo,
,,Mayor a 2 kg,,,DOÑA AURORA,Jamón Serrano,
,,Menor a 250 g,,,EL ABASCAY,Kimchis,
,,Venta al peso,,,EL GURI,Leberwust,
,,,,,EMBORG,Lomo Ahumado,
,,,,,EMMI,Lomo Curado,
,,,,,ENRIQUE TOMAS,Lomo de Cerdo,
,,,,,ENTREMONT,Lomos de Cerdo,
,,,,,ESNAOLA,Longanizas,
,,,,,ESPAÑA,Lupines,
,,,,,ESPUÑA,Mix de Frutos Secos,
,,,,,FAMILIA GRIÓN,Mortadelas,
,,,,,FAMILIA WEISS,Mostazas,
,,,,,FERMIER,Paleta de Cerdo,
,,,,,FESTA,Panceta de Cerdo,
,,,,,FINLANDIA,Pancetas,
,,,,,FOL EPI,Pancetas Ahumada,
,,,,,FORMAGGE,Pastas de Aceituna,
,,,,,FRAGATA,Pastrones,
,,,,,FRUIT DE LAIT,Paté,
,,,,,GARCIA,Pechugas de Pavo,
,,,,,GARCIA BAQUERO,Pepinillos,
,,,,,GRANJA IRIS,Pepinos,
,,,,,HUERTA TAMBO,Pickles,
,,,,,ILE DE FRANCE,Pimientos,
,,,,,ILOLAY,Provoletas,
,,,,,JUMBO,Puré de Berenjenas,
,,,,,KAMAR,Queso Untables,
,,,,,KANSAS,Quesos Azul,
,,,,,LA BLANCA,Quesos Barra,
,,,,,LA CAMPAGNOLA,Quesos Blanco,
,,,,,LA DELFINA,Quesos Brie,
,,,,,LA GIOCONDA,Quesos Camembert,
,,,,,LA PAULINA,Quesos Cheddar,
,,,,,LA QUESERA,Quesos con Especias y Sabores,
,,,,,LA SERENISIMA,Quesos Crema,
,,,,,LA SERENÍSIMA CLÁSICO,Quesos Cremoso,
,,,,,LA SERENÍSIMA CREMÓN,Quesos Cuartirolo,
,,,,,LA SIERRITA,Quesos Danbo,
,,,,,LA SUERTE,Quesos de Búfala,
,,,,,LA TOSCANA,Quesos de Cabra,
,,,,,LANDANA,Quesos de Oveja,
,,,,,LARIO,Quesos Edam,
,,,,,LAS TRES NIÑAS,Quesos Emmental,
,,,,,LATTERIA SORESINA,Quesos Fontina,
,,,,,L´ABRATTO,Quesos Fundido,
,,,,,MAGRET,Quesos Gouda,
,,,,,MANZONI,Quesos Gruyere,
,,,,,MARIAN ARYTZA,Quesos Mascarpone,
,,,,,MARVAVIC,Quesos Muzzarella,
,,,,,MELINCUE,Quesos Parmesano,
,,,,,MILKAUT,Quesos Pategrás,
,,,,,MIREYA,Quesos Port Salut,
,,,,,NONNA PIA,Quesos Provoleta,
,,,,,NUCETE,Quesos Provolone,
,,,,,OLD AMSTERDAM,Quesos Rallado,
,,,,,PALADINI,Quesos Reggianito,
,,,,,PATY,Quesos Roquefort,
,,,,,PHILADELPHIA,Quesos Sardo,
,,,,,PORXAS,Quesos Tres Leches,
,,,,,PUNTA DEL AGUA,Quesos Tybo,
,,,,,RECETAS DE ENTONCES,Quesos Untables,
,,,,,ROSENBORG,Repollos Encurtidos,
,,,,,SAN IGNACIO,Ricotas,
,,,,,SANTA ROSA,Salames,
,,,,,SELLO DE ORO,Salchichas,
,,,,,SENDA,Salchichas Vegetarianas,
,,,,,SIN MARCA,Salchichones,
,,,,,SNOWDONIA,Salchichón,
,,,,,ST. AGUR,Salmones,
,,,,,STERILGARDA,Salsas Blancas y Especiales,
,,,,,SWIFT,Salsas de Queso,
,,,,,TERRASANA,Tabla de Fiambres,
,,,,,TONADITA,Tablas de Quesos,
,,,,,TREGAR,Truchas,
,,,,,TRES CRUCES,,
,,,,,TROZER,,
,,,,,UNION GANADERA,,
,,,,,VANOLI,,
,,,,,VAQUERO,,
,,,,,VIENISSIMA,,
,,,,,VIKING,,
,,,,,WAPI,,
,,,,,YBARRA,,
,,,,,ZANETTI,,
