Departamento,Categoría,Sub-Categoría,Contenido,Elaboración,Envase,Formato,Marca,Sabor,Tipo de Producto,Variedad
Almacén,Aceites y Vinagres,Aceites Comunes,1 L,Vegano,Botella,Envasado,AGLU,Arándano,Aceites de Coco,Común
Bebidas,Alimentos Vegetales,Aceites Especiales,120 g,,Caja,,Aiken,Arándanos-Manzana,Albóndigas,Light
Congelados,Arroz y Legumbres,Arroz,200 g,,Cartón,,ALOJA,Chocolate,Almendras,Tradicional
Frutas y Verduras,Comidas Congeladas,Bebidas Vegetales,200 Gr,,Frasco,,AMANDE,Chocolate Blanco y Frambuesas,Aromatizadores,
Lácteos,Conservas,"Bizcochuelos, Brownies y Tortas",240 Gr,,Lata,,ARRIVATA,Ciruela,Arroz Integral,
Panaderia y Pasteleria,Desayuno y Merienda,"Bizcochuelos, Budines y Magdalenas",250 g - 500 g,,Paquete,,BAMBOO,Frutilla,Arándanos,
Panadería y Repostería,Dulce de Leche,Cereales,250 Gr,,Pote,,BEEPURE,Frutos del bosque,Barras de Arroz,
Quesos y Fiambres,Frutas,Comidas,330 Ml,,,,BEYOND MEAT,"Jengibre, Hibiscus Y Cedrón",Barras de Avellana,
,Harinas,Comidas Congeladas,354 Ml,,,,BIO,Manzana,Barras de Cereal,
,Helados y Postres,Conservas de Verduras y Legumbres,360 Gr,,,,BURGANAS,Manzana-Kiwi,Bayas,
,Huevos,Frescos,370 Gr,,,,CARILÓ,Marmolado,Bebidas Vegetales,
,Jugos,Frutas Congeladas,400 Gr,,,,CASA VEGANA,Naranja,Bizcochos,
,Leches,Frutas Secas y Desecadas,460 Gr,,,,COCOIOGO,Naranja Dulce,Bocaditos,
,"Legumbres, Granos y Semillas",Frutas Secas y Disecadas,500 g,,,,CROWIE,Natural,Bolitas de Chocolate,
,Libre de Gluten,Galletitas Dulces,910 Ml,,,,CUISINE & CO,"Pepino, Naranja, Pera, Arándano",Budines,
,Panadería,Galletitas Saladas,Menor a 250 g,,,,CUISINE & CO READY,Salted Caramel,Caldos de Verduras,
,Panadería Salada,Harinas,,,,,DICOMERE,Vainilla,Carnes Veganas,
,Panificados,Helados,,,,,EL BROCAL,Yerba Mate,Cereal de Arroz,
,Para Preparar,Hummus y Otros,,,,,ELABORACION PROPIA,,Cereales de Arroz,
,Pastas Secas y Salsas,Lacteados,,,,,ENTRENUTS,,Cereales Saborizados,
,Pastas y Tapas,Listos,,,,,FAMILIA BEAUDROIT,,Croquetas,
,Quesos,Mermeladas y Jaleas,,,,,FELICES LAS VACAS,,Dulces de Frambuesa,
,"Sal, Pimienta y Especias",Mousse,,,,,FRAMS,,Dulces de Leche,
,Snacks,Pan Para Hamburguesas y Panchos,,,,,FRUGGINA,,Frutillas,
,Vegetales,Pan Rallado y Rebozador,,,,,FRUTTY,,Fusillis,
,Verduras,Panificados,,,,,GOD BLESS YOU,,Galletas de Chocolate,
,Yogures,Papas Fritas,,,,,GREEN CROPS,,Galletas Rellenas y Bañadas,
,,Pastas Secas Guiseras,,,,,happy food,,Galletas Secas,
,,Pastas Secas Largas,,,,,Haulani,,Galletas sin Gluten,
,,Pastelería,,,,,INTEGRA,,Galletitas de Agua,
,,Pochoclos,,,,,JULICROC,,Garbanzos,
,,Queso,,,,,KAPAC,,Granolas,
,,Quesos Especiales e Importados,,,,,KARINAT,,Hamburguesas Veganas,
,,Quesos Untables,,,,,KYROS,,Harina de Quinoa,
,,Sal,,,,,LA DELFINA,,Helados,
,,Snacks,,,,,LADDU BAR,,Huevos de Gallina,
,,Tapas,,,,,LAS BRISAS,,Hummus,
,,Tostadas y Grisines,,,,,LIBERATO,,Humus,
,,Tés,,,,,LULEMUU,,Jugos Frescos,
,,Verduras Procesadas y Ensaladas Listas,,,,,MARLOM´S,,Jugos Listos,
,,Vinagres,,,,,Molé,,Kombuchas,
,,Yogures Descremados,,,,,MONTECITOS,,Lentejas,
,,Yogures Enteros,,,,,MONTECOMAN,,Limpiadores de Pisos,
,,Yogurt,,,,,MUECAS,,Mantecas,
,,,,,,,NATURAL CANDY,,Mantequilla de Maní,
,,,,,,,NATURAL POP,,Maní Pelado,
,,,,,,,NATURAL SUR,,Mayonesas,
,,,,,,,NATUZEN,,Maíz Molido,
