ID_Producto,Categoria,Tipo de Producto,Nombre,Marca,URL,Precio_regular,Precio_float,Fecha,Filtro
P1,Carnes,Ahumadores,Astilla Ahumadora Manzano 500 Gr,HUMOS,,Precio regular x kg.: $5.798,5798.0,2025-08-02,Ahumadores
P2,Carnes,Ahumadores,Chips Ahumadores Humos Olivo 140 Gr,HUMOS,,"Precio regular x kg.: $15.707,14",15707.14,2025-08-02,Ahumadores
P3,Carnes,Ahumadores,Astillas Para Ahumar Nogal 1 U,HUMOS,,"Precio regular x kg.: $15.707,14",15707.14,2025-08-02,Ahumadores
P4,Carnes,Ahumadores,Astillas De Leña Ahumadoras 500 Gr,HUMOS,,Precio regular x kg.: $5.798,5798.0,2025-08-02,Ahumadores
P5,Carnes,Ahumadores,Chips Ahumadores Manzano,HUMOS,,"Precio regular x kg.: $15.707,14",15707.14,2025-08-02,Ahumadores
P6,Carnes,Ahumadores,Chips Ahumadores Humos Espinillo 140 Gr,HUMOS,,"Precio regular x kg.: $15.707,14",15707.14,2025-08-02,Ahumadores
P7,Carnes,Ahumadores,Astilla Ahumadora Olivo 500 Gr,HUMOS,,Precio regular x kg.: $5.798,5798.0,2025-08-02,Ahumadores
P8,Carnes,Carbón,Carbón Premium Las Brasas X 4kgs,LAS BRASAS,,"Precio regular x kg.: $1.499,75",1499.75,2025-08-02,Carbón
P9,Carnes,Carbón,Carbon X 4 Kg Los Leños Black,LOS LEÑOS,,"Precio regular x un: $1874,75",1874.75,2025-08-02,Carbón
P10,Carnes,Carbón,Morcilla Criolla Envasado Al Vacio 4 U - 400 Grs - Magret,MAGRET,,"Precio regular x kg.: $14.012,5",14012.5,2025-08-02,Carbón
P11,Carnes,Carbón,Milanesa De Nalga Rebozada,UNION GANADERA,,Precio regular x kg.: $16.049,16049.0,2025-08-02,Carbón
P12,Carnes,Carne de Cerdo,Solomillo De Cerdo Congelado,GRANJA PROPIA,,Precio regular x kg.: $7.399,7399.0,2025-08-02,Carne de Cerdo
P13,Carnes,Carne de Cerdo,Carre De Cerdo Con Hueso Fresco,GRANJA PROPIA,,Precio regular x kg.: $6.199,6199.0,2025-08-02,Carne de Cerdo
P14,Carnes,Carne de Cerdo,Pechito De Cerdo Fresco,SIN MARCA,,Precio regular x kg.: $6.699,6699.0,2025-08-02,Carne de Cerdo
P15,Carnes,Carne de Cerdo,Bondiola De Cerdo Congelada,GRANJA PROPIA,,Precio regular x kg.: $10.295,10295.0,2025-08-02,Carne de Cerdo
P16,Carnes,Carne de Cerdo,Bondiola de cerdo fresca,GRANJA PROPIA,,Precio regular x kg.: $8.799,8799.0,2025-08-02,Carne de Cerdo
P17,Carnes,Carne de Cerdo,Carre De Cerdo Deshuesado Congelado,GRANJA PROPIA,,Precio regular x kg.: $7.399,7399.0,2025-08-02,Carne de Cerdo
P18,Carnes,Carne de Cerdo,Matambrito De Cerdo - Magret,GRANJA PROPIA,,Precio regular x kg.: $25.099,25099.0,2025-08-02,Carne de Cerdo
P19,Carnes,Carne de Cerdo,Solomillo De Cerdo - Magret,GRANJA PROPIA,,Precio regular x kg.: $17.715,17715.0,2025-08-02,Carne de Cerdo
